City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Kozhva,RU,2022-02-06 07:24:27,65.1073,57.0459,1.81,91,32,3.85
157,Yaring,TH,2022-02-06 07:24:27,6.8662,101.3689,86.04,66,41,15.59
158,Thompson,CA,2022-02-06 07:24:05,55.7435,-97.8558,-27.24,75,0,4.61
159,Show Low,US,2022-02-06 07:24:28,34.2542,-110.0298,30.15,40,0,6.91
160,Mayya,RU,2022-02-06 07:24:29,61.7333,130.2811,-23.69,98,100,2.28
161,Hithadhoo,MV,2022-02-06 07:19:01,-0.6,73.0833,82.58,72,9,11.21
162,Bitung,ID,2022-02-06 07:24:29,1.4451,125.1824,88.65,76,92,12.24
163,Glarus,CH,2022-02-06 07:24:30,47.0406,9.068,36.95,64,100,4.63
164,Hofn,IS,2022-02-06 07:24:30,64.2539,-15.2082,32.81,67,100,18.59
165,Vilyuysk,RU,2022-02-06 07:24:31,63.7553,121.6247,-13.67,99,53,3.62
166,Tiksi,RU,2022-02-06 07:24:31,71.6872,128.8694,-22.52,99,99,5.17
167,Nuuk,GL,2022-02-06 07:24:31,64.1835,-51.7216,7.41,61,75,10.36
168,Sao Jose Da Coroa Grande,BR,2022-02-06 07:24:32,-8.8978,-35.1478,77.41,75,85,5.21
169,Den Helder,NL,2022-02-06 07:24:32,52.9599,4.7593,48.97,88,75,28.01
170,Qaanaaq,GL,2022-02-06 07:19:02,77.484,-69.3632,-3.77,94,100,4.09
171,Kalagarh,IN,2022-02-06 07:24:33,29.5,78.75,64.62,51,3,4.76
172,Gizo,SB,2022-02-06 07:24:33,-8.103,156.8419,86.13,72,98,11.68
173,Korla,CN,2022-02-06 07:24:34,41.7597,86.1469,30.38,32,83,8.14
174,Kenora,CA,2022-02-06 07:24:34,49.8167,-94.4337,6.78,85,100,4.61
175,Tommot,RU,2022-02-06 07:24:35,58.9564,126.2925,2.84,94,96,1.19
176,Flinders,AU,2022-02-06 07:24:35,-34.5833,150.8552,73.2,72,67,14.58
177,Tuktoyaktuk,CA,2022-02-06 07:24:35,69.4541,-133.0374,-20.76,100,100,8.86
178,Juneau,US,2022-02-06 07:20:15,58.3019,-134.4197,37.4,95,100,11.99
179,Necochea,AR,2022-02-06 07:21:22,-38.5473,-58.7368,58.03,80,100,21.54
180,Souillac,MU,2022-02-06 07:24:36,-20.5167,57.5167,84.58,74,75,18.41
181,Saint-Philippe,RE,2022-02-06 07:25:37,-21.3585,55.7679,85.59,78,100,20.45
182,New Norfolk,AU,2022-02-06 07:19:03,-42.7826,147.0587,69.91,40,0,3.0
183,Padang,ID,2022-02-06 07:23:51,-0.9492,100.3543,89.65,76,100,2.08
184,Vestmannaeyjar,IS,2022-02-06 07:25:37,63.4427,-20.2734,30.96,72,26,23.33
185,Hamilton,US,2022-02-06 07:25:30,39.1834,-84.5333,18.0,90,0,0.0
186,Sebinkarahisar,TR,2022-02-06 07:25:38,40.2883,38.4236,14.68,85,47,0.51
187,Goderich,CA,2022-02-06 07:25:38,43.7501,-81.7165,18.91,79,100,16.11
188,Chokurdakh,RU,2022-02-06 07:25:39,70.6333,147.9167,-34.82,100,100,2.33
189,Mar Del Plata,AR,2022-02-06 07:19:11,-38.0023,-57.5575,58.08,95,75,1.99
190,Provideniya,RU,2022-02-06 07:25:39,64.3833,-173.3,-3.24,73,0,13.31
191,Hualmay,PE,2022-02-06 07:25:40,-11.0964,-77.6139,68.49,86,94,7.0
192,Wajima,JP,2022-02-06 07:25:40,37.4,136.9,30.88,86,75,4.61
193,Taoudenni,ML,2022-02-06 07:25:41,22.6783,-3.9836,61.72,15,96,9.31
194,Bacolod,PH,2022-02-06 07:25:41,10.6667,122.95,83.89,66,92,16.62
195,Manzanillo,CU,2022-02-06 07:25:41,20.3433,-77.1167,68.59,89,5,6.93
196,Zhigansk,RU,2022-02-06 07:24:04,66.7697,123.3711,-24.54,99,92,5.39
197,Cam Ranh,VN,2022-02-06 07:25:42,11.9214,109.1591,71.56,94,75,10.36
198,Cao Bang,VN,2022-02-06 07:25:43,22.6667,106.25,52.39,94,100,1.86
199,Bonavista,CA,2022-02-06 07:25:43,48.6499,-53.1147,24.12,94,100,37.94
200,Laguna,US,2022-02-06 07:20:15,38.421,-121.4238,52.77,80,0,1.01
201,Erenhot,CN,2022-02-06 07:25:44,43.6475,111.9767,14.79,69,0,11.23
202,Port Augusta,AU,2022-02-06 07:25:44,-32.5,137.7667,92.71,15,15,13.4
203,Fallon,US,2022-02-06 07:25:44,39.4735,-118.7774,24.67,58,0,6.91
204,Nanortalik,GL,2022-02-06 07:25:45,60.1432,-45.2371,11.19,53,100,11.59
205,Kavieng,PG,2022-02-06 07:25:45,-2.5744,150.7967,83.35,75,99,9.64
206,Tocopilla,CL,2022-02-06 07:25:46,-22.092,-70.1979,67.5,75,34,0.63
207,Avera,US,2022-02-06 07:25:46,33.194,-82.5271,37.27,47,0,9.55
208,Wucheng,CN,2022-02-06 07:25:47,29.6008,118.175,41.63,66,100,4.7
209,Port-Gentil,GA,2022-02-06 07:25:47,-0.7193,8.7815,80.56,89,40,4.61
210,Bisira,PA,2022-02-06 07:25:47,8.5196,-81.7115,53.71,92,38,6.46
211,Poum,NC,2022-02-06 07:25:48,-20.2333,164.0167,78.57,87,100,5.84
212,Bilibino,RU,2022-02-06 07:25:48,68.0546,166.4372,-16.22,81,91,4.52
213,Naukot,PK,2022-02-06 07:25:49,24.8587,69.4024,78.62,28,0,9.19
214,High Prairie,CA,2022-02-06 07:25:14,55.4334,-116.4858,40.3,73,100,13.6
215,Samarai,PG,2022-02-06 07:25:50,-10.6167,150.6667,84.52,75,100,13.15
216,Hayesville,US,2022-02-06 07:25:50,44.986,-122.9829,43.43,85,0,1.99
217,Codrington,AU,2022-02-06 07:25:50,-38.2667,141.9667,74.86,49,100,20.0
218,Yellowknife,CA,2022-02-06 07:19:12,62.456,-114.3525,-17.88,69,0,9.22
219,Okha,RU,2022-02-06 07:25:51,53.5739,142.9478,1.8,87,100,19.8
220,Ashcroft,CA,2022-02-06 07:25:51,50.7165,-121.2859,38.62,97,100,3.96
221,Robertsport,LR,2022-02-06 07:25:52,6.7533,-11.3686,77.11,89,60,3.42
222,Lagoa,PT,2022-02-06 07:25:52,39.05,-27.9833,59.34,71,0,16.91
223,Ambon,ID,2022-02-06 07:25:53,-3.6954,128.1814,87.94,62,75,3.44
224,Orocue,CO,2022-02-06 07:25:53,4.7912,-71.3354,77.13,58,41,3.56
225,Taksimo,RU,2022-02-06 07:25:53,56.3444,114.8794,-3.28,91,100,1.92
226,Pierre,US,2022-02-06 07:23:05,44.3683,-100.351,37.27,65,20,11.01
227,Hasaki,JP,2022-02-06 07:26:54,35.7333,140.8333,46.29,30,99,14.58
228,Huarmey,PE,2022-02-06 07:26:54,-10.0681,-78.1522,69.87,86,100,7.43
229,San Quintin,MX,2022-02-06 07:26:55,30.4833,-115.95,55.0,49,0,2.86
230,Pacific Grove,US,2022-02-06 07:26:55,36.6177,-121.9166,53.15,69,0,4.0
231,Salalah,OM,2022-02-06 07:26:56,17.0151,54.0924,80.69,61,0,4.61
232,Whyalla,AU,2022-02-06 07:26:56,-33.0333,137.5833,87.69,19,6,12.66
233,Lorengau,PG,2022-02-06 07:26:57,-2.0226,147.2712,83.43,75,97,11.59
234,Prince Rupert,CA,2022-02-06 07:25:06,54.3161,-130.3201,44.29,81,100,20.71
235,Sechura,PE,2022-02-06 07:26:57,-5.5569,-80.8222,69.4,88,100,7.43
236,Oussouye,SN,2022-02-06 07:26:58,12.485,-16.5469,69.89,68,0,3.96
237,Youkounkoun,GN,2022-02-06 07:26:58,12.5333,-13.1333,67.87,49,4,2.98
238,Tougue,GN,2022-02-06 07:26:58,11.4667,-11.6,63.09,20,11,0.78
239,Agadir,MA,2022-02-06 07:26:59,30.4202,-9.5982,59.45,48,78,4.23
240,Atasu,KZ,2022-02-06 07:26:59,48.6814,71.6433,20.75,70,60,15.79
241,Kruisfontein,ZA,2022-02-06 07:27:00,-34.0033,24.7314,77.88,55,0,9.37
242,Iqaluit,CA,2022-02-06 07:27:00,63.7506,-68.5145,-34.31,73,0,3.0
243,Norman Wells,CA,2022-02-06 07:27:01,65.282,-126.8329,-18.36,69,75,2.3
244,Bima,ID,2022-02-06 07:27:01,-8.4667,118.7167,84.04,76,58,8.68
245,Abomsa,ET,2022-02-06 07:27:02,9.9833,39.9833,69.15,66,61,5.7
246,Ocean City,US,2022-02-06 07:24:55,39.2776,-74.5746,21.97,69,0,5.99
247,Ust-Kuyga,RU,2022-02-06 07:27:02,70.0167,135.6,-42.3,100,100,3.76
248,Leningradskiy,RU,2022-02-06 07:27:03,69.3833,178.4167,-22.38,98,24,3.91
249,Gornopravdinsk,RU,2022-02-06 07:27:03,60.05,69.9,20.77,90,100,2.59
250,Payson,US,2022-02-06 07:27:04,40.0444,-111.7321,32.54,69,0,3.0
251,Baykit,RU,2022-02-06 07:27:04,61.67,96.37,11.53,86,100,5.3
252,Touros,BR,2022-02-06 07:27:05,-5.1989,-35.4608,74.3,74,99,8.21
253,Bastrop,US,2022-02-06 07:27:05,32.7562,-91.8724,26.28,70,0,4.36
254,Camara De Lobos,PT,2022-02-06 07:27:06,32.6333,-16.9667,65.12,87,75,18.41
255,Kenosha,US,2022-02-06 07:27:07,42.5667,-88.0501,21.81,67,99,16.75
256,Omsukchan,RU,2022-02-06 07:27:07,62.5333,155.8,-16.33,69,11,3.38
257,Fuerte Olimpo,PY,2022-02-06 07:27:07,-21.0415,-57.8738,72.5,98,100,2.89
258,Muros,ES,2022-02-06 07:27:08,42.7762,-9.0603,44.24,87,97,11.1
259,Hauterive,FR,2022-02-06 07:27:08,46.0901,3.4459,40.75,88,62,6.76
260,Bethel,US,2022-02-06 07:27:09,41.3712,-73.414,17.49,70,0,3.44
261,Killybegs,IE,2022-02-06 07:27:09,54.6333,-8.45,41.45,76,100,29.89
262,Tombouctou,ML,2022-02-06 07:27:10,20.0,-3.0,58.95,14,0,8.84
263,Carnarvon,AU,2022-02-06 07:18:06,-24.8667,113.6333,80.4,67,10,21.14
264,Alice Town,BS,2022-02-06 07:27:10,25.7167,-79.3,74.05,66,100,12.44
265,Chuy,UY,2022-02-06 07:19:07,-33.6971,-53.4616,63.95,90,85,8.21
266,Pangnirtung,CA,2022-02-06 07:27:11,66.1451,-65.7125,-35.23,89,92,6.31
267,Laramie,US,2022-02-06 07:22:54,41.3114,-105.5911,24.53,86,75,13.8
268,Mungwi,ZM,2022-02-06 07:27:11,-10.1732,31.3694,63.01,95,100,1.43
269,Chino Valley,US,2022-02-06 07:28:12,34.7575,-112.4538,40.17,27,99,1.99
270,Fairbanks,US,2022-02-06 07:24:30,64.8378,-147.7164,6.1,81,100,0.0
271,Casino,AU,2022-02-06 07:28:12,-28.8667,153.05,75.15,57,13,13.8
272,Beyneu,KZ,2022-02-06 07:28:13,45.3167,55.2,29.89,71,100,21.03
273,Bac Lieu,VN,2022-02-06 07:28:13,9.285,105.7244,86.4,54,99,23.29
274,Dawei,MM,2022-02-06 07:28:14,14.0833,98.2,86.34,55,55,8.75
275,Havant,GB,2022-02-06 07:28:14,50.8567,-0.9856,51.08,95,100,31.0
276,Henties Bay,NA,2022-02-06 07:28:15,-22.116,14.2845,67.86,79,70,3.71
277,Nara,JP,2022-02-06 07:28:15,34.6851,135.8049,40.37,62,96,15.95
278,Katsuura,JP,2022-02-06 07:26:21,35.1333,140.3,44.11,33,36,3.36
279,Matara,LK,2022-02-06 07:24:44,5.9485,80.5353,88.29,45,97,5.59
280,Orcopampa,PE,2022-02-06 07:28:16,-15.2661,-72.3417,44.85,71,100,2.75
281,Paamiut,GL,2022-02-06 07:28:16,61.994,-49.6678,1.11,84,100,6.38
282,Cherepovets,RU,2022-02-06 07:26:02,59.1333,37.9,10.22,85,0,4.47
283,Aksha,RU,2022-02-06 07:28:17,50.2814,113.2867,21.85,70,96,9.64
284,Boa Vista,BR,2022-02-06 07:28:18,2.8197,-60.6733,78.78,73,75,10.36
285,Mumbwa,ZM,2022-02-06 07:28:18,-14.9783,27.0619,67.64,92,100,3.74
286,Holysov,CZ,2022-02-06 07:28:18,49.5936,13.1013,41.63,79,75,11.5
287,Mandurah,AU,2022-02-06 07:28:19,-32.55,115.7,80.17,68,100,17.45
